 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:19:44.669,11880,55112
 25-04-12 17:19:44.674,11469,42567
 25-04-12 17:19:44.678,9725,26266
 25-04-12 17:19:44.682,9979,29043
 25-04-12 17:19:44.686,10112,44471
 25-04-12 17:19:44.690,11711,55317
 25-04-12 17:19:44.693,10852,42637
 25-04-12 17:19:44.697,9206,26122
 25-04-12 17:19:44.701,9415,29128
 25-04-12 17:19:44.705,9525,44384
 25-04-12 17:19:44.711,11053,55638
 25-04-12 17:19:44.713,10677,42905
 25-04-12 17:19:44.717,9204,26257
 25-04-12 17:19:44.721,9957,28820
 25-04-12 17:19:44.725,9859,44018
 25-04-12 17:19:44.730,10773,55167
 25-04-12 17:19:44.734,10308,42523
 25-04-12 17:19:44.738,9302,26100
 25-04-12 17:19:44.742,9890,29012
 25-04-12 17:19:44.746,9577,44357
 25-04-12 17:19:44.750,11102,55313
 25-04-12 17:19:44.754,10677,42573
 25-04-12 17:19:44.758,9319,26242
 25-04-12 17:19:44.762,10254,29002
 25-04-12 17:19:44.766,9791,44489
 25-04-12 17:19:44.770,10549,55446
 25-04-12 17:19:44.774,10445,42482
 25-04-12 17:19:44.778,9537,26128
 25-04-12 17:19:44.782,10608,29318
 25-04-12 17:19:44.786,11357,44146
 25-04-12 17:19:44.790,12868,55347
 25-04-12 17:19:44.793,10699,42808
 25-04-12 17:19:44.797,8794,26422
 25-04-12 17:19:44.802,10072,29045
 25-04-12 17:19:44.805,10261,44472
 25-04-12 17:19:44.809,12508,55252
 25-04-12 17:19:44.813,11553,42389
 25-04-12 17:19:44.818,9529,26122
 25-04-12 17:19:44.822,10069,28935
 25-04-12 17:19:44.825,10065,44480
 25-04-12 17:19:44.830,11693,55662
 25-04-12 17:19:44.835,11127,43405
 25-04-12 17:19:44.838,9612,27038
 25-04-12 17:19:44.842,11235,29743
 25-04-12 17:19:44.846,10409,44733
 25-04-12 17:19:44.850,11134,55645
 25-04-12 17:19:44.854,9964,42975
 25-04-12 17:19:44.858,8457,26786
 25-04-12 17:19:44.862,9262,29992
 25-04-12 17:19:44.866,10172,45065
 25-04-12 17:19:44.870,11875,56025
 25-04-12 17:19:44.874,10859,43050
 25-04-12 17:19:44.878,9385,26426
 25-04-12 17:19:44.881,10138,29170
 25-04-12 17:19:44.885,9886,44577
 25-04-12 17:19:44.889,10762,55265
 25-04-12 17:19:44.894,10429,42611
 25-04-12 17:19:44.898,9257,26285
 25-04-12 17:19:44.902,10567,28993
 25-04-12 17:19:44.906,10081,44315
 25-04-12 17:19:44.910,11060,55432
 25-04-12 17:19:44.914,10655,42768
 25-04-12 17:19:44.918,9417,26252
 25-04-12 17:19:44.922,9474,28893
 25-04-12 17:19:44.926,9523,43950
 25-04-12 17:19:44.929,11160,55052
 25-04-12 17:19:44.933,10640,42627
 25-04-12 17:19:44.937,9300,26103
 25-04-12 17:19:44.941,9805,28941
 25-04-12 17:19:44.945,10047,44091
 25-04-12 17:19:44.949,11179,55185
 25-04-12 17:19:44.953,10735,42271
 25-04-12 17:19:44.957,9080,25299
 25-04-12 17:19:44.961,9195,28201
 25-04-12 17:19:44.965,9830,44304
 25-04-12 17:19:44.969,11866,56939
 25-04-12 17:19:44.973,11142,45973
 25-04-12 17:19:44.978,9444,30877
 25-04-12 17:19:44.982,10014,34741
 25-04-12 17:19:44.985,10264,51752
 25-04-12 17:19:44.989,10510,64707
 25-04-12 17:19:44.994,10034,51569
 25-04-12 17:19:44.998,9782,33715
 25-04-12 17:19:45.002,10449,34595
 25-04-12 17:19:45.006,10491,48247
 25-04-12 17:19:45.010,11721,57832
 25-04-12 17:19:45.014,10527,44318
 25-04-12 17:19:45.018,9135,27603
 25-04-12 17:19:45.021,9922,30005
 25-04-12 17:19:45.026,10479,45228
 25-04-12 17:19:45.030,12550,56213
 25-04-12 17:19:45.034,11130,44104
 25-04-12 17:19:45.038,9075,27793
 25-04-12 17:19:45.042,10131,30466
 25-04-12 17:19:45.046,10118,45467
 25-04-12 17:19:45.050,10882,56462
 25-04-12 17:19:45.054,10025,44016
 25-04-12 17:19:45.058,8844,27568
 25-04-12 17:19:45.062,9432,30240
 25-04-12 17:19:45.066,9527,45359
 25-04-12 17:19:45.070,10380,56213
 25-04-12 17:19:45.074,10460,43608
 25-04-12 17:19:45.078,9447,27296
 25-04-12 17:19:45.082,9920,29956
 25-04-12 17:19:45.086,10182,45190
 25-04-12 17:19:45.090,11720,56167
 25-04-12 17:19:45.094,10963,43508
 25-04-12 17:19:45.098,8978,26929
 25-04-12 17:19:45.101,10104,29715
 25-04-12 17:19:45.105,10227,45294
 25-04-12 17:19:45.110,11690,56226
 25-04-12 17:19:45.114,11545,43374
 25-04-12 17:19:45.118,9582,26993
 25-04-12 17:19:45.122,9981,29600
 25-04-12 17:19:45.129,9302,44775
 25-04-12 17:19:45.130,11650,55750
 25-04-12 17:19:45.134,11595,43300
 25-04-12 17:19:45.137,9239,26936
 25-04-12 17:19:45.141,9479,29722
 25-04-12 17:19:45.145,9896,44600
 25-04-12 17:19:45.149,10834,55309
 25-04-12 17:19:45.153,10095,43257
 25-04-12 17:19:45.157,8995,27042
 25-04-12 17:19:45.161,10260,29669
