 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:34:18.203,49748,55136
 25-04-12 17:34:18.207,47928,25465
 25-04-12 17:34:18.210,48268,51408
 25-04-12 17:34:18.215,48360,40940
 25-04-12 17:34:18.219,50261,65298
 25-04-12 17:34:18.223,50293,55204
 25-04-12 17:34:18.226,48500,25587
 25-04-12 17:34:18.231,48726,51632
 25-04-12 17:34:18.234,48547,41002
 25-04-12 17:34:18.238,49907,65464
 25-04-12 17:34:18.243,49696,55246
 25-04-12 17:34:18.247,47791,25604
 25-04-12 17:34:18.251,48413,51447
 25-04-12 17:34:18.255,48688,41052
 25-04-12 17:34:18.259,49990,68
 25-04-12 17:34:18.263,49954,55369
 25-04-12 17:34:18.267,47930,25675
 25-04-12 17:34:18.271,48506,51822
 25-04-12 17:34:18.275,48406,41325
 25-04-12 17:34:18.279,48650,154
 25-04-12 17:34:18.283,48358,55266
 25-04-12 17:34:18.287,47816,25344
 25-04-12 17:34:18.291,48928,51622
 25-04-12 17:34:18.295,49016,41619
 25-04-12 17:34:18.299,49816,870
 25-04-12 17:34:18.303,50115,55695
 25-04-12 17:34:18.310,48271,25588
 25-04-12 17:34:18.310,48679,51917
 25-04-12 17:34:18.315,48473,41780
 25-04-12 17:34:18.319,49501,763
 25-04-12 17:34:18.323,49926,55422
 25-04-12 17:34:18.327,48388,25513
 25-04-12 17:34:18.331,49105,51751
 25-04-12 17:34:18.335,49345,41928
 25-04-12 17:34:18.339,50295,897
 25-04-12 17:34:18.343,50896,55326
 25-04-12 17:34:18.347,48739,25337
 25-04-12 17:34:18.351,48783,51823
 25-04-12 17:34:18.355,48713,42000
 25-04-12 17:34:18.359,49616,1010
 25-04-12 17:34:18.363,49677,55376
 25-04-12 17:34:18.367,48140,25448
 25-04-12 17:34:18.371,48721,52087
 25-04-12 17:34:18.375,48865,42128
 25-04-12 17:34:18.378,49744,1270
 25-04-12 17:34:18.383,50826,55735
 25-04-12 17:34:18.387,48533,25700
 25-04-12 17:34:18.391,48997,52058
 25-04-12 17:34:18.395,49357,42337
 25-04-12 17:34:18.399,49999,1447
 25-04-12 17:34:18.403,50431,55416
 25-04-12 17:34:18.407,48460,25305
 25-04-12 17:34:18.411,48966,52124
 25-04-12 17:34:18.415,49445,42615
 25-04-12 17:34:18.419,49701,1700
 25-04-12 17:34:18.423,49341,55263
 25-04-12 17:34:18.426,48116,24835
 25-04-12 17:34:18.430,48757,51718
 25-04-12 17:34:18.434,48981,42523
 25-04-12 17:34:18.438,49748,1873
 25-04-12 17:34:18.442,50010,55250
 25-04-12 17:34:18.446,48374,24929
 25-04-12 17:34:18.451,48875,51753
 25-04-12 17:34:18.455,49086,42502
 25-04-12 17:34:18.459,50310,1522
 25-04-12 17:34:18.463,49870,55265
 25-04-12 17:34:18.467,48465,24808
 25-04-12 17:34:18.471,48979,51885
