 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 21:34:41.642,32860,57525
 25-04-12 21:34:41.647,32600,57220
 25-04-12 21:34:41.650,30719,56581
 25-04-12 21:34:41.655,31460,55052
 25-04-12 21:34:41.659,32156,52528
 25-04-12 21:34:41.663,33261,50754
 25-04-12 21:34:41.667,34005,51896
 25-04-12 21:34:41.671,31470,53299
 25-04-12 21:34:41.675,31894,52691
 25-04-12 21:34:41.678,31760,50961
 25-04-12 21:34:41.682,32795,49404
 25-04-12 21:34:41.686,33690,50532
 25-04-12 21:34:41.690,31205,52171
 25-04-12 21:34:41.694,31909,51525
 25-04-12 21:34:41.698,32745,49408
 25-04-12 21:34:41.702,32740,47971
 25-04-12 21:34:41.706,33043,49168
 25-04-12 21:34:41.710,31579,50333
 25-04-12 21:34:41.715,32384,49823
 25-04-12 21:34:41.718,32594,48112
 25-04-12 21:34:41.722,32051,46344
 25-04-12 21:34:41.727,32408,47350
 25-04-12 21:34:41.730,31057,48908
 25-04-12 21:34:41.734,32294,48449
 25-04-12 21:34:41.738,32435,46305
 25-04-12 21:34:41.742,32528,44894
 25-04-12 21:34:41.747,33405,46452
 25-04-12 21:34:41.751,31322,47771
 25-04-12 21:34:41.755,31384,47156
 25-04-12 21:34:41.759,31934,45452
 25-04-12 21:34:41.763,32562,43967
 25-04-12 21:34:41.767,32883,45293
 25-04-12 21:34:41.770,31110,47180
 25-04-12 21:34:41.775,32289,46930
 25-04-12 21:34:41.779,32939,45018
 25-04-12 21:34:41.783,33884,43450
 25-04-12 21:34:41.787,34331,44639
 25-04-12 21:34:41.791,31646,45711
 25-04-12 21:34:41.795,31937,44807
 25-04-12 21:34:41.799,32730,42663
 25-04-12 21:34:41.803,33367,41310
 25-04-12 21:34:41.807,32685,42348
 25-04-12 21:34:41.811,31263,43751
 25-04-12 21:34:41.815,32564,43125
 25-04-12 21:34:41.819,33720,40973
 25-04-12 21:34:41.823,33759,39523
 25-04-12 21:34:41.827,34414,40805
 25-04-12 21:34:41.831,31791,42509
 25-04-12 21:34:41.835,31924,42345
 25-04-12 21:34:41.838,31795,40603
 25-04-12 21:34:41.842,32657,39311
 25-04-12 21:34:41.847,33840,40509
 25-04-12 21:34:41.851,31649,42116
 25-04-12 21:34:41.855,32956,42055
 25-04-12 21:34:41.859,33405,40551
 25-04-12 21:34:41.863,32259,39550
 25-04-12 21:34:41.867,33555,41081
 25-04-12 21:34:41.871,31932,43227
 25-04-12 21:34:41.875,32415,43018
 25-04-12 21:34:41.879,32763,41332
 25-04-12 21:34:41.883,32900,40522
 25-04-12 21:34:41.888,32432,42230
