 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:29:51.953,33623,46828
 25-04-12 17:29:51.958,32930,15321
 25-04-12 17:29:51.961,33113,1537
 25-04-12 17:29:51.966,33985,13270
 25-04-12 17:29:51.969,34423,63807
 25-04-12 17:29:51.973,32428,47683
 25-04-12 17:29:51.977,32415,16177
 25-04-12 17:29:51.981,33231,2057
 25-04-12 17:29:51.987,34127,12958
 25-04-12 17:29:51.989,35699,63117
 25-04-12 17:29:51.993,33576,47412
 25-04-12 17:29:51.997,33329,16156
 25-04-12 17:29:52.001,34091,2097
 25-04-12 17:29:52.006,35159,13557
 25-04-12 17:29:52.009,35614,63309
 25-04-12 17:29:52.013,33511,47181
 25-04-12 17:29:52.017,33173,16086
 25-04-12 17:29:52.022,33503,1900
 25-04-12 17:29:52.026,34121,12435
 25-04-12 17:29:52.030,33246,62606
 25-04-12 17:29:52.034,32691,46564
 25-04-12 17:29:52.038,33375,15772
 25-04-12 17:29:52.042,34078,2184
 25-04-12 17:29:52.046,35402,13022
 25-04-12 17:29:52.050,35403,62828
 25-04-12 17:29:52.054,33158,46990
 25-04-12 17:29:52.058,33393,16100
 25-04-12 17:29:52.062,34254,2082
 25-04-12 17:29:52.066,35600,12877
 25-04-12 17:29:52.070,34940,62559
 25-04-12 17:29:52.074,33585,46712
 25-04-12 17:29:52.077,33624,15920
 25-04-12 17:29:52.081,34129,2052
 25-04-12 17:29:52.085,35173,12883
 25-04-12 17:29:52.089,34851,62384
 25-04-12 17:29:52.095,33346,46646
 25-04-12 17:29:52.097,32776,15984
 25-04-12 17:29:52.101,33641,2181
 25-04-12 17:29:52.105,34643,12893
 25-04-12 17:29:52.109,35410,62428
 25-04-12 17:29:52.114,33860,46894
 25-04-12 17:29:52.118,33258,16603
 25-04-12 17:29:52.122,33918,2866
 25-04-12 17:29:52.126,34822,13202
 25-04-12 17:29:52.130,34706,62575
 25-04-12 17:29:52.134,33006,47022
 25-04-12 17:29:52.138,33223,16552
 25-04-12 17:29:52.141,34320,2477
 25-04-12 17:29:52.145,34793,13015
 25-04-12 17:29:52.150,35448,62261
 25-04-12 17:29:52.153,33429,46415
 25-04-12 17:29:52.157,33210,16096
 25-04-12 17:29:52.161,33447,2222
 25-04-12 17:29:52.165,34256,12180
 25-04-12 17:29:52.169,35350,61153
 25-04-12 17:29:52.174,33727,45607
 25-04-12 17:29:52.178,33556,15241
 25-04-12 17:29:52.182,33883,1669
 25-04-12 17:29:52.186,34941,12079
 25-04-12 17:29:52.190,35265,61224
 25-04-12 17:29:52.194,33419,45700
 25-04-12 17:29:52.198,33792,15312
 25-04-12 17:29:52.202,34148,1523
 25-04-12 17:29:52.206,34799,11932
 25-04-12 17:29:52.210,35220,61129
 25-04-12 17:29:52.214,33427,45312
 25-04-12 17:29:52.218,33296,15081
 25-04-12 17:29:52.223,33415,1069
 25-04-12 17:29:52.226,34333,11493
 25-04-12 17:29:52.229,34638,60669
 25-04-12 17:29:52.234,33373,44892
 25-04-12 17:29:52.238,33470,14463
 25-04-12 17:29:52.242,33593,242
 25-04-12 17:29:52.246,34159,9944
 25-04-12 17:29:52.250,34301,58784
 25-04-12 17:29:52.254,33345,43928
 25-04-12 17:29:52.258,33387,15124
 25-04-12 17:29:52.262,33523,2840
 25-04-12 17:29:52.266,34662,14717
 25-04-12 17:29:52.270,34509,65028
 25-04-12 17:29:52.273,33381,52222
 25-04-12 17:29:52.278,33893,24857
 25-04-12 17:29:52.281,33860,11056
 25-04-12 17:29:52.285,34048,19909
 25-04-12 17:29:52.289,34675,1392
 25-04-12 17:29:52.294,33074,49035
 25-04-12 17:29:52.298,33105,17514
 25-04-12 17:29:52.302,33836,3092
 25-04-12 17:29:52.306,34156,13145
 25-04-12 17:29:52.310,34728,61744
