 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:47:23.844,57090,28753
 25-04-12 17:47:23.849,58096,47236
 25-04-12 17:47:23.852,58147,27727
 25-04-12 17:47:23.857,59150,51065
 25-04-12 17:47:23.860,58316,56140
 25-04-12 17:47:23.864,57230,28231
 25-04-12 17:47:23.869,58356,46856
 25-04-12 17:47:23.873,58493,27117
 25-04-12 17:47:23.879,59051,50159
 25-04-12 17:47:23.881,58056,55603
 25-04-12 17:47:23.885,57146,27769
 25-04-12 17:47:23.889,58437,46471
 25-04-12 17:47:23.893,58865,26802
 25-04-12 17:47:23.897,59852,50060
 25-04-12 17:47:23.901,58422,55502
 25-04-12 17:47:23.904,57083,27751
 25-04-12 17:47:23.909,57390,46300
 25-04-12 17:47:23.912,57535,26348
 25-04-12 17:47:23.917,58975,49587
 25-04-12 17:47:23.921,58131,55098
 25-04-12 17:47:23.925,57160,27183
 25-04-12 17:47:23.929,57111,45779
 25-04-12 17:47:23.932,58311,25755
 25-04-12 17:47:23.937,59092,49228
 25-04-12 17:47:23.940,58252,54795
 25-04-12 17:47:23.944,57571,26914
 25-04-12 17:47:23.949,57776,45280
 25-04-12 17:47:23.953,58260,25222
 25-04-12 17:47:23.957,59318,49133
 25-04-12 17:47:23.961,57973,54902
 25-04-12 17:47:23.965,57155,26679
 25-04-12 17:47:23.969,58404,44499
 25-04-12 17:47:23.972,58448,24737
 25-04-12 17:47:23.976,59128,48953
 25-04-12 17:47:23.980,57902,54604
 25-04-12 17:47:23.984,56987,26299
 25-04-12 17:47:23.988,57575,44310
 25-04-12 17:47:23.992,57812,24433
 25-04-12 17:47:23.996,59191,48344
 25-04-12 17:47:24.000,58411,53907
 25-04-12 17:47:24.004,57140,25724
 25-04-12 17:47:24.009,57780,43864
 25-04-12 17:47:24.013,58380,23403
 25-04-12 17:47:24.017,59487,47402
 25-04-12 17:47:24.021,58268,53258
 25-04-12 17:47:24.025,57205,24984
 25-04-12 17:47:24.028,57680,43097
 25-04-12 17:47:24.032,58018,23071
 25-04-12 17:47:24.036,59718,47235
 25-04-12 17:47:24.041,58407,53092
 25-04-12 17:47:24.045,57399,24879
 25-04-12 17:47:24.048,58644,42733
 25-04-12 17:47:24.052,57953,22837
 25-04-12 17:47:24.056,58560,47000
 25-04-12 17:47:24.060,57700,53048
 25-04-12 17:47:24.064,56782,25004
 25-04-12 17:47:24.068,57233,42918
 25-04-12 17:47:24.072,58251,22947
 25-04-12 17:47:24.077,59994,47419
 25-04-12 17:47:24.080,58351,53612
 25-04-12 17:47:24.085,57108,25787
 25-04-12 17:47:24.089,57534,44092
 25-04-12 17:47:24.093,56945,24470
 25-04-12 17:47:24.097,57416,48525
 25-04-12 17:47:24.101,57723,54292
 25-04-12 17:47:24.105,57451,26210
 25-04-12 17:47:24.109,58263,44609
 25-04-12 17:47:24.112,58626,24796
 25-04-12 17:47:24.117,59125,49288
 25-04-12 17:47:24.121,58035,55200
 25-04-12 17:47:24.124,56965,26719
 25-04-12 17:47:24.132,57898,44614
 25-04-12 17:47:24.132,58015,24410
 25-04-12 17:47:24.137,59044,48905
 25-04-12 17:47:24.141,57706,55248
 25-04-12 17:47:24.145,56692,26781
 25-04-12 17:47:24.148,57777,44533
 25-04-12 17:47:24.152,58223,24767
 25-04-12 17:47:24.156,58961,49185
 25-04-12 17:47:24.161,57986,55272
 25-04-12 17:47:24.164,57044,26853
 25-04-12 17:47:24.168,57454,44575
 25-04-12 17:47:24.173,58635,24716
 25-04-12 17:47:24.177,59608,49397
 25-04-12 17:47:24.181,58171,55865
 25-04-12 17:47:24.185,57056,27531
 25-04-12 17:47:24.189,57831,45356
 25-04-12 17:47:24.193,58808,25342
 25-04-12 17:47:24.197,60356,49867
 25-04-12 17:47:24.201,59028,56207
 25-04-12 17:47:24.205,57173,27832
 25-04-12 17:47:24.209,57666,45554
 25-04-12 17:47:24.213,58061,25364
 25-04-12 17:47:24.217,58976,50078
 25-04-12 17:47:24.221,58103,56551
 25-04-12 17:47:24.225,57241,27975
 25-04-12 17:47:24.229,57598,45414
 25-04-12 17:47:24.232,58288,25289
 25-04-12 17:47:24.236,59303,50093
 25-04-12 17:47:24.241,57915,56517
 25-04-12 17:47:24.244,57375,27915
 25-04-12 17:47:24.249,59420,45281
 25-04-12 17:47:24.253,58426,25453
 25-04-12 17:47:24.257,59315,50594
 25-04-12 17:47:24.260,58173,56858
 25-04-12 17:47:24.265,57363,28213
 25-04-12 17:47:24.269,58411,45646
 25-04-12 17:47:24.272,58603,25466
 25-04-12 17:47:24.277,59470,49870
 25-04-12 17:47:24.280,58566,56535
 25-04-12 17:47:24.284,56890,28368
 25-04-12 17:47:24.288,56494,45646
 25-04-12 17:47:24.292,58517,25364
 25-04-12 17:47:24.296,59280,50370
 25-04-12 17:47:24.301,58063,56698
 25-04-12 17:47:24.304,57128,28183
 25-04-12 17:47:24.308,57777,45554
 25-04-12 17:47:24.312,57888,24699
 25-04-12 17:47:24.316,59205,49298
 25-04-12 17:47:24.320,58342,56207
 25-04-12 17:47:24.325,57482,27960
 25-04-12 17:47:24.328,58863,45576
 25-04-12 17:47:24.332,57751,25072
 25-04-12 17:47:24.336,58463,49710
 25-04-12 17:47:24.340,58018,56760
 25-04-12 17:47:24.344,57344,28794
 25-04-12 17:47:24.348,57557,46271
 25-04-12 17:47:24.352,57398,25406
 25-04-12 17:47:24.356,58756,49722
 25-04-12 17:47:24.360,57893,56480
 25-04-12 17:47:24.364,57147,28402
 25-04-12 17:47:24.368,58213,45742
 25-04-12 17:47:24.373,58585,25061
 25-04-12 17:47:24.377,59796,49969
 25-04-12 17:47:24.381,58834,56993
 25-04-12 17:47:24.385,57578,28435
 25-04-12 17:47:24.389,57550,45706
 25-04-12 17:47:24.393,57836,25126
 25-04-12 17:47:24.397,59339,49984
 25-04-12 17:47:24.401,58535,56920
 25-04-12 17:47:24.405,57711,28331
 25-04-12 17:47:24.409,58729,45536
 25-04-12 17:47:24.413,58924,24954
 25-04-12 17:47:24.417,60103,49598
 25-04-12 17:47:24.421,58606,56626
 25-04-12 17:47:24.425,57578,28284
 25-04-12 17:47:24.428,57394,45516
 25-04-12 17:47:24.432,57553,24372
 25-04-12 17:47:24.436,59620,49383
 25-04-12 17:47:24.440,58790,56823
 25-04-12 17:47:24.444,57442,28278
 25-04-12 17:47:24.448,58496,45276
 25-04-12 17:47:24.452,58712,24187
 25-04-12 17:47:24.456,59843,49210
 25-04-12 17:47:24.460,58710,56595
 25-04-12 17:47:24.465,57512,28230
 25-04-12 17:47:24.469,57691,45329
 25-04-12 17:47:24.473,58042,24573
 25-04-12 17:47:24.477,59785,49773
 25-04-12 17:47:24.480,59075,56869
 25-04-12 17:47:24.485,57727,28329
 25-04-12 17:47:24.488,58479,45480
 25-04-12 17:47:24.492,57923,24487
 25-04-12 17:47:24.496,59356,49670
 25-04-12 17:47:24.500,58383,56853
 25-04-12 17:47:24.506,57811,27981
 25-04-12 17:47:24.508,58846,45059
 25-04-12 17:47:24.512,58955,24294
 25-04-12 17:47:24.516,59919,49989
 25-04-12 17:47:24.520,58775,57485
 25-04-12 17:47:24.524,57438,28822
 25-04-12 17:47:24.529,58258,45541
 25-04-12 17:47:24.533,58724,24191
 25-04-12 17:47:24.537,58960,50212
 25-04-12 17:47:24.541,57665,57801
 25-04-12 17:47:24.544,57481,28396
 25-04-12 17:47:24.549,58220,45479
