 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:23:05.542,15115,48527
 25-04-12 17:23:05.545,15854,2919
 25-04-12 17:23:05.549,16245,53395
 25-04-12 17:23:05.553,15228,26822
 25-04-12 17:23:05.557,15414,26473
 25-04-12 17:23:05.561,15770,47843
 25-04-12 17:23:05.565,16887,1989
 25-04-12 17:23:05.569,16466,52195
 25-04-12 17:23:05.573,15174,26042
 25-04-12 17:23:05.577,16816,26930
 25-04-12 17:23:05.581,16320,50212
 25-04-12 17:23:05.586,15921,6879
 25-04-12 17:23:05.590,15912,58990
 25-04-12 17:23:05.594,15255,33445
 25-04-12 17:23:05.598,15859,35408
 25-04-12 17:23:05.602,15757,58520
 25-04-12 17:23:05.606,16373,12720
 25-04-12 17:23:05.610,16488,61753
 25-04-12 17:23:05.614,14729,33182
 25-04-12 17:23:05.618,15140,30805
 25-04-12 17:23:05.622,15734,50726
 25-04-12 17:23:05.626,16667,4198
 25-04-12 17:23:05.630,15871,54622
 25-04-12 17:23:05.633,14954,27884
 25-04-12 17:23:05.637,15368,27428
 25-04-12 17:23:05.642,15346,48751
 25-04-12 17:23:05.646,15919,3647
 25-04-12 17:23:05.650,15674,54689
 25-04-12 17:23:05.654,14799,28045
 25-04-12 17:23:05.658,15003,27281
 25-04-12 17:23:05.662,15080,48389
 25-04-12 17:23:05.666,15882,3005
 25-04-12 17:23:05.670,16070,54068
 25-04-12 17:23:05.674,14730,27313
 25-04-12 17:23:05.677,15409,26761
 25-04-12 17:23:05.681,15375,47830
 25-04-12 17:23:05.685,15718,2694
 25-04-12 17:23:05.689,15554,53790
 25-04-12 17:23:05.693,14371,26768
 25-04-12 17:23:05.697,14724,26060
 25-04-12 17:23:05.701,15319,47174
 25-04-12 17:23:05.705,16487,1996
 25-04-12 17:23:05.709,15682,53336
 25-04-12 17:23:05.713,14440,26707
 25-04-12 17:23:05.717,14700,25918
 25-04-12 17:23:05.721,15177,46938
 25-04-12 17:23:05.726,16443,1751
 25-04-12 17:23:05.730,16030,53050
 25-04-12 17:23:05.734,14447,26345
 25-04-12 17:23:05.738,15093,25443
 25-04-12 17:23:05.741,15730,46350
 25-04-12 17:23:05.746,16345,1178
 25-04-12 17:23:05.749,15745,52848
 25-04-12 17:23:05.753,14770,25995
 25-04-12 17:23:05.757,14841,25074
 25-04-12 17:23:05.761,14914,45886
 25-04-12 17:23:05.765,15548,774
 25-04-12 17:23:05.769,15280,52530
 25-04-12 17:23:05.773,14070,25898
 25-04-12 17:23:05.777,14913,24664
 25-04-12 17:23:05.781,15204,45662
 25-04-12 17:23:05.786,16260,532
 25-04-12 17:23:05.790,15535,51957
 25-04-12 17:23:05.794,14612,24937
 25-04-12 17:23:05.798,14453,23892
 25-04-12 17:23:05.802,14585,44810
 25-04-12 17:23:05.806,15835,65208
 25-04-12 17:23:05.810,16308,51263
 25-04-12 17:23:05.814,14791,24397
 25-04-12 17:23:05.818,14950,23257
 25-04-12 17:23:05.822,15264,43997
 25-04-12 17:23:05.826,16160,64374
 25-04-12 17:23:05.830,15649,50572
 25-04-12 17:23:05.833,14320,23833
 25-04-12 17:23:05.837,14534,22525
 25-04-12 17:23:05.842,14686,43559
 25-04-12 17:23:05.846,16191,64061
 25-04-12 17:23:05.850,16299,50357
 25-04-12 17:23:05.854,14798,23678
 25-04-12 17:23:05.858,15136,22720
 25-04-12 17:23:05.862,15000,43720
 25-04-12 17:23:05.866,15696,64231
 25-04-12 17:23:05.870,16032,50999
 25-04-12 17:23:05.874,14815,24616
 25-04-12 17:23:05.877,15247,23252
 25-04-12 17:23:05.881,15453,43876
 25-04-12 17:23:05.885,16529,64547
 25-04-12 17:23:05.889,16071,51374
 25-04-12 17:23:05.893,14789,25044
 25-04-12 17:23:05.897,15378,23936
 25-04-12 17:23:05.901,15163,44913
 25-04-12 17:23:05.905,15285,75
 25-04-12 17:23:05.909,15587,52120
 25-04-12 17:23:05.914,14597,25283
 25-04-12 17:23:05.917,15240,23823
 25-04-12 17:23:05.921,15520,44522
 25-04-12 17:23:05.926,15910,65201
 25-04-12 17:23:05.930,16186,52161
 25-04-12 17:23:05.934,14447,25579
 25-04-12 17:23:05.938,14890,23887
 25-04-12 17:23:05.941,15064,44255
 25-04-12 17:23:05.945,16329,65267
 25-04-12 17:23:05.949,16167,52263
 25-04-12 17:23:05.954,14939,25608
 25-04-12 17:23:05.957,14984,23867
 25-04-12 17:23:05.961,15450,44243
 25-04-12 17:23:05.965,16517,65052
 25-04-12 17:23:05.969,16210,52150
 25-04-12 17:23:05.973,14522,25342
 25-04-12 17:23:05.977,14479,23792
 25-04-12 17:23:05.981,14797,44069
 25-04-12 17:23:05.986,15374,64848
 25-04-12 17:23:05.990,15096,52181
 25-04-12 17:23:05.994,14279,25300
 25-04-12 17:23:05.998,14824,23494
 25-04-12 17:23:06.002,15120,43846
 25-04-12 17:23:06.006,15945,64815
 25-04-12 17:23:06.010,15564,52287
 25-04-12 17:23:06.014,14478,25480
 25-04-12 17:23:06.018,14291,23846
 25-04-12 17:23:06.022,14257,43927
 25-04-12 17:23:06.026,15059,64841
 25-04-12 17:23:06.037,15054,52427
 25-04-12 17:23:06.037,14211,25550
 25-04-12 17:23:06.038,15027,23661
 25-04-12 17:23:06.041,15187,44274
 25-04-12 17:23:06.045,15852,64969
 25-04-12 17:23:06.049,15307,52321
 25-04-12 17:23:06.053,14032,25714
 25-04-12 17:23:06.059,14545,23575
 25-04-12 17:23:06.061,15245,43633
 25-04-12 17:23:06.065,16587,64647
 25-04-12 17:23:06.069,15785,52435
 25-04-12 17:23:06.073,14139,25613
 25-04-12 17:23:06.077,14564,23173
 25-04-12 17:23:06.082,14760,43483
 25-04-12 17:23:06.086,15200,64497
 25-04-12 17:23:06.090,15010,52312
 25-04-12 17:23:06.094,14347,25613
