 time,呼吸阻抗（mV） ,心电数据（mV） 
 25-04-12 17:49:10.799,58840,49847
 25-04-12 17:49:10.803,58058,16406
 25-04-12 17:49:10.807,58344,39959
 25-04-12 17:49:10.811,58488,31912
 25-04-12 17:49:10.815,59248,58985
 25-04-12 17:49:10.819,58540,49934
 25-04-12 17:49:10.822,57878,16256
 25-04-12 17:49:10.826,57952,39409
 25-04-12 17:49:10.830,57927,31385
 25-04-12 17:49:10.834,59148,58162
 25-04-12 17:49:10.838,58643,49172
 25-04-12 17:49:10.842,57520,15955
 25-04-12 17:49:10.846,58305,38991
 25-04-12 17:49:10.850,59061,30842
 25-04-12 17:49:10.854,60267,57747
 25-04-12 17:49:10.859,59209,48596
 25-04-12 17:49:10.863,57926,15166
 25-04-12 17:49:10.867,58235,38214
 25-04-12 17:49:10.871,58979,29781
 25-04-12 17:49:10.875,60817,56676
 25-04-12 17:49:10.879,60281,48212
 25-04-12 17:49:10.883,58183,14941
 25-04-12 17:49:10.886,58057,37975
 25-04-12 17:49:10.890,58508,29663
 25-04-12 17:49:10.894,60705,56415
 25-04-12 17:49:10.898,60530,47868
 25-04-12 17:49:10.902,57886,14834
 25-04-12 17:49:10.906,57891,37992
 25-04-12 17:49:10.910,58601,29603
 25-04-12 17:49:10.914,60901,56725
 25-04-12 17:49:10.918,59923,48478
 25-04-12 17:49:10.924,57840,15259
 25-04-12 17:49:10.926,57783,38506
 25-04-12 17:49:10.930,58383,30291
 25-04-12 17:49:10.935,60311,57133
 25-04-12 17:49:10.938,59573,49120
 25-04-12 17:49:10.942,58037,16164
 25-04-12 17:49:10.946,58355,39251
 25-04-12 17:49:10.950,58558,30714
 25-04-12 17:49:10.954,59729,57657
 25-04-12 17:49:10.958,59277,49532
 25-04-12 17:49:10.962,57912,16737
 25-04-12 17:49:10.966,58286,39880
 25-04-12 17:49:10.970,59119,31401
 25-04-12 17:49:10.975,59316,58181
 25-04-12 17:49:10.979,58351,49983
 25-04-12 17:49:10.982,57801,16962
 25-04-12 17:49:10.986,58216,40104
 25-04-12 17:49:10.990,58673,31555
 25-04-12 17:49:10.994,59755,58404
 25-04-12 17:49:10.998,59210,50338
 25-04-12 17:49:11.002,57631,17220
 25-04-12 17:49:11.006,57612,40299
 25-04-12 17:49:11.011,58219,31246
 25-04-12 17:49:11.014,59248,58135
 25-04-12 17:49:11.018,58608,50526
 25-04-12 17:49:11.022,57566,17397
 25-04-12 17:49:11.026,58297,40346
 25-04-12 17:49:11.031,58743,32058
 25-04-12 17:49:11.035,59442,58997
 25-04-12 17:49:11.040,59048,51362
 25-04-12 17:49:11.043,57890,18376
 25-04-12 17:49:11.047,58461,40937
 25-04-12 17:49:11.051,58686,32029
 25-04-12 17:49:11.055,59096,58477
 25-04-12 17:49:11.059,59101,51112
 25-04-12 17:49:11.062,57851,18407
 25-04-12 17:49:11.066,58265,41311
 25-04-12 17:49:11.070,58315,32442
 25-04-12 17:49:11.074,59016,59047
